X,Y,OBJECTID,address,business_name,business_type,precinct,greenlight_live_date,address_id,parcel_id,longitude,latitude
-83.2734972047898,42.4313661548129,462,19255 Shiawassee Dr,Pierre Manor Apartments,Residential,8,2021/05/06 00:00:00+00,120218,22121168.,-83.2734972047898,42.4313661548129
-83.1023559866288,42.4181631440663,463,1 E McNichols Rd,Citgo,Retail,11,2021/04/29 00:00:00+00,49782,01004397-402,-83.1023559866288,42.4181631440663
-83.1013230211265,42.4181832357781,464,1 E McNichols Rd,Citgo,Retail,11,2021/04/29 00:00:00+00,159240,01004403-5,-83.1013230211265,42.4181832357781
-83.1277738575156,42.4045614882827,465,15395 Linwood St,Linwood Apartments,Residential,10,2021/04/23 00:00:00+00,12194,12010916.,-83.1277738575156,42.4045614882827
-83.1080595822507,42.4189659203825,466,300 Whitmore Rd,300 Whitmore,Residential,12,2021/04/23 00:00:00+00,275517,02002603.,-83.1080595822507,42.4189659203825
-83.0269392487865,42.360790995873,467,3439 Gratiot Ave,Atlas Plumbing Supply Co.,Retail,7,2021/04/14 00:00:00+00,262336,13001843.,-83.0269392487865,42.360790995873
-83.1093609868802,42.4197336020199,468,381 Covington Rd,381 Covington,Residential,12,2021/04/10 00:00:00+00,276480,02002615.,-83.1093609868802,42.4197336020199
-83.1091348035593,42.4196911407267,469,361 Covington Rd,361 Covington,Residential,12,2021/04/09 00:00:00+00,276447,02002614.,-83.1091348035593,42.4196911407267
-83.1834525609241,42.3694508597287,470,9970 Freeland St,H and H Freeland,Retail,2,2021/04/08 00:00:00+00,540735,22035439-43,-83.1834525609241,42.3694508597287
-83.283261886808,42.4423996906528,471,24377 W 8 Mile Rd,Plumbers Wholesale,Retail,8,2021/04/08 00:00:00+00,105247,22019038.002,-83.283261886808,42.4423996906528
-83.0897100230279,42.3292011016626,472,2703 23rd St,Detroit Industrial Warehousing,Services,4,2021/04/01 00:00:00+00,539336,12008392-411,-83.0897100230279,42.3292011016626
-83.1138799682517,42.4310105040668,473,18932 Woodward Ave,Cynthia's Poprcorn Shop,Retail,12,2021/04/01 00:00:00+00,538699,01009798.,-83.1138799682517,42.4310105040668
-83.2439277885888,42.3490566933253,474,7800 Pierson St,DTE Electric Tree Trimming School,Services,6,2021/03/26 00:00:00+00,403432,22106154.001,-83.2439277885888,42.3490566933253
-82.9764389855977,42.437695443571,475,14493 Gratiot Ave,Detroit Blues Cafe,Retail,9,2021/03/13 00:00:00+00,546821,21029112-3,-82.9764389855977,42.437695443571
-83.1419364317488,42.4344185634578,476,19367 Livernois Ave,Pretty Lady's Salon,Services,12,2021/03/11 00:00:00+00,547293,16017549-52,-83.1419364317488,42.4344185634578
-83.1419491909,42.4347349003141,477,19371 Livernois Ave,UR Shoe Closet,Retail,12,2021/03/11 00:00:00+00,352819,16017549-52,-83.1419491909,42.4347349003141
-83.1420446896652,42.4344192689177,478,19353 Livernois Ave,21st Century Salon,Services,12,2021/03/11 00:00:00+00,352813,16017549-52,-83.1420446896652,42.4344192689177
-83.1419364317488,42.4344185634578,479,19355 Livernois Ave,vacant,Retail,12,2021/03/11 00:00:00+00,30571,16017549-52,-83.1419364317488,42.4344185634578
-83.1419568211874,42.4344488003162,480,19359 Livernois Ave,AKOMA,Retail,12,2021/03/11 00:00:00+00,352815,16017549-52,-83.1419568211874,42.4344488003162
-83.1419364317488,42.4344185634578,481,19367 Livernois Ave,Pretty Lady's Salon,Services,12,2021/03/11 00:00:00+00,548206,16017549-52,-83.1419364317488,42.4344185634578
-83.1471024296058,42.3303357227773,482,8524 Michigan Ave,Westchester Apartments,Residential,4,2021/03/02 00:00:00+00,217052,20004679.,-83.1471024296058,42.3303357227773
,,483,"19449 W McNichols Rd, Ste 2",Marketing,Services,8,2021/02/26 00:00:00+00,,,,
,,484,"19449 W McNichols Rd, Ste 4",Classi Ladi,Retail,8,2021/02/26 00:00:00+00,,,,
,,485,"19449 W McNichols Rd, Ste 1",The SM Creative Store,Retail,8,2021/02/26 00:00:00+00,,,,
,,486,"19449 W McNichols Rd, Ste 3",Top Dolla Cutz and Fades,Services,8,2021/02/26 00:00:00+00,,,,
-82.9957148018571,42.3511848032993,487,7875 E Jefferson Ave,Jefferson Liquor Mart,Retail,7,2021/02/22 00:00:00+00,282046,17000047.,-82.9957148018571,42.3511848032993
-83.1085715186408,42.4183152689833,488,325 Merton Rd,Palmer Park Square,Residential,12,2021/02/17 00:00:00+00,279231,02002548.,-83.1085715186408,42.4183152689833
-83.0815216205024,42.4182096031554,489,1900 E McNichols Rd,BP,Retail,11,2021/02/05 00:00:00+00,271586,09016241.001,-83.0815216205024,42.4182096031554
-83.21001832427,42.3726588395304,490,16600 Plymouth Rd,JR Party Store,Retail,6,2017/11/02 00:00:00+00,216402,22005845-50,-83.21001832427,42.3726588395304
-83.1703458760462,42.4315099957861,491,10848 W 7 Mile Rd,Detroit Wine & Liquor,Retail,12,2017/11/02 00:00:00+00,350686,16008689-92,-83.1703458760462,42.4315099957861
-83.0067621022921,42.3664237673465,492,7900 Mack Ave,Mack Avenue Community Church,Services,7,2017/11/02 00:00:00+00,273131,17000299.,-83.0067621022921,42.3664237673465
-83.0150908088613,42.4338098322763,493,8740 E 7 Mile Rd,Family Food and Liquor,Retail,11,2017/11/02 00:00:00+00,205704,17004996.002L,-83.0150908088613,42.4338098322763
-83.2642525362209,42.4426398776197,494,22355 W 8 Mile Rd,West Oaks Senior Care,Residential,8,2017/10/30 00:00:00+00,105461,22019031.002,-83.2642525362209,42.4426398776197
-83.1974906171512,42.4446438297358,495,15229 W 8 Mile Rd.,GDI Services Inc.,Services,12,2017/10/30 00:00:00+00,30551,22018708-12,-83.1974906171512,42.4446438297358
-83.1266422798199,42.3844468583289,496,12340 Dexter Ave,Valero,Retail,10,2017/09/08 00:00:00+00,52328,12010527-30,-83.1266422798199,42.3844468583289
-83.2439252491234,42.4297336598591,497,20436 W 7 Mile Rd,International Language Solutions,Services,8,2017/09/06 00:00:00+00,101339,22016917-9,-83.2439252491234,42.4297336598591
-83.0812942359225,42.3814745360228,498,8901 Woodward Ave,Mobil,Retail,3,2017/08/31 00:00:00+00,344354,02001704-5,-83.0812942359225,42.3814745360228
-83.2571988544046,42.417217801615,499,17336 Lahser Rd,Motor City Java,Retail,8,2017/08/29 00:00:00+00,352293,22113378.,-83.2571988544046,42.417217801615
-83.2122686838878,42.4159405165429,500,17200 W McNichols Rd,Mega Liquor,Retail,8,2017/08/25 00:00:00+00,82844,22013879-85,-83.2122686838878,42.4159405165429
-83.0736125354468,42.3713646621835,501,7400 Woodward Ave,New Center Liquor,Retail,3,2017/08/23 00:00:00+00,336920,01004295.,-83.0736125354468,42.3713646621835
-83.1980577756823,42.3729050215147,502,15500 Plymouth Rd,Marathon,Retail,6,2017/08/17 00:00:00+00,216415,22005949-51,-83.1980577756823,42.3729050215147
-83.0895659848207,42.3224728040698,503,3801 W Vernor Hwy,Citgo,Retail,4,2017/08/16 00:00:00+00,349123,14000307-0,-83.0895659848207,42.3224728040698
-83.2857718872133,42.4283224375863,504,24761 W 7 Mile Rd,BP,Retail,8,2017/08/16 00:00:00+00,353338,22016759-60,-83.2857718872133,42.4283224375863
-83.1981009294676,42.3722392618311,505,15501 Plymouth Rd,McDonald's,Retail,6,2017/08/14 00:00:00+00,216393,22005073-9,-83.1981009294676,42.3722392618311
,,506,18137 Joy Rd - McD,McDonald's,Retail,6,2017/08/14 00:00:00+00,,,,
,,507,18137 Joy Rd - BP,BP,Retail,6,2017/08/11 00:00:00+00,,,,
-82.9655872453962,42.4265703140367,508,13001 Hayes St,Hayes Troester,Retail,9,2017/08/04 00:00:00+00,537273,21056607-13,-82.9655872453962,42.4265703140367
-82.9403993389184,42.4019278702107,509,16226 E Warren Ave,Public Foods,Retail,5,2017/08/02 00:00:00+00,352035,21002342-6,-82.9403993389184,42.4019278702107
-83.2040067024437,42.343712391157,510,16226 E Warren Ave,Public Foods,Retail,5,2017/08/02 00:00:00+00,352036,22000854-64,-83.2040067024437,42.343712391157
